#strain_name,accession,strain_taxon_id,seq_name
YJM993,CP004442,1294331,I
YJM993,CP004601,1294331,II
YJM993,CP006363,1294331,III
YJM993,CP004692,1294331,IV
YJM993,CP004786,1294331,V
YJM993,CP004922,1294331,VI
YJM993,CP005226,1294331,VII
YJM993,CP006151,1294331,VIII
YJM993,CP005014,1294331,IX
YJM993,CP005109,1294331,X
YJM993,CP005323,1294331,XI
YJM993,CP006467,1294331,XII
YJM993,CP005424,1294331,XIII
YJM993,CP005526,1294331,XIV
YJM993,CP005620,1294331,XV
YJM993,CP006243,1294331,XVI
YJM195,CP004412,1294305,I
YJM195,CP004616,1294305,II
YJM195,CP006333,1294305,III
YJM195,CP004662,1294305,IV
YJM195,CP004756,1294305,V
YJM195,CP004892,1294305,VI
YJM195,CP005196,1294305,VII
YJM195,CP006121,1294305,VIII
YJM195,CP004984,1294305,IX
YJM195,CP005116,1294305,X
YJM195,CP005293,1294305,XI
YJM195,CP006437,1294305,XII
YJM195,CP005394,1294305,XIII
YJM195,CP005496,1294305,XIV
YJM195,CP005590,1294305,XV
YJM195,CP006213,1294305,XVI
YJM270,CP004415,1294308,I
YJM270,CP004619,1294308,II
YJM270,CP006336,1294308,III
YJM270,CP004665,1294308,IV
YJM270,CP004759,1294308,V
YJM270,CP004895,1294308,VI
YJM270,CP005199,1294308,VII
YJM270,CP006124,1294308,VIII
YJM270,CP004987,1294308,IX
YJM270,CP005119,1294308,X
YJM270,CP005296,1294308,XI
YJM270,CP006440,1294308,XII
YJM270,CP005397,1294308,XIII
YJM270,CP005499,1294308,XIV
YJM270,CP005593,1294308,XV
YJM270,CP006216,1294308,XVI
YJM470,CP004424,1294313,I
YJM470,CP004628,1294313,II
YJM470,CP006345,1294313,III
YJM470,CP004674,1294313,IV
YJM470,CP004768,1294313,V
YJM470,CP004904,1294313,VI
YJM470,CP005208,1294313,VII
YJM470,CP006133,1294313,VIII
YJM470,CP004996,1294313,IX
YJM470,CP005128,1294313,X
YJM470,CP005305,1294313,XI
YJM470,CP006449,1294313,XII
YJM470,CP005406,1294313,XIII
YJM470,CP005508,1294313,XIV
YJM470,CP005602,1294313,XV
YJM470,CP006225,1294313,XVI
YJM683,CP004431,1294320,I
YJM683,CP004635,1294320,II
YJM683,CP006352,1294320,III
YJM683,CP004681,1294320,IV
YJM683,CP004775,1294320,V
YJM683,CP004911,1294320,VI
YJM683,CP005215,1294320,VII
YJM683,CP006140,1294320,VIII
YJM683,CP005003,1294320,IX
YJM683,CP005098,1294320,X
YJM683,CP005312,1294320,XI
YJM683,CP006456,1294320,XII
YJM683,CP005413,1294320,XIII
YJM683,CP005515,1294320,XIV
YJM683,CP005609,1294320,XV
YJM683,CP006232,1294320,XVI
YJM689,CP004432,1294321,I
YJM689,CP004636,1294321,II
YJM689,CP006353,1294321,III
YJM689,CP004682,1294321,IV
YJM689,CP004776,1294321,V
YJM689,CP004912,1294321,VI
YJM689,CP005216,1294321,VII
YJM689,CP006141,1294321,VIII
YJM689,CP005004,1294321,IX
YJM689,CP005099,1294321,X
YJM689,CP005313,1294321,XI
YJM689,CP006457,1294321,XII
YJM689,CP005414,1294321,XIII
YJM689,CP005516,1294321,XIV
YJM689,CP005610,1294321,XV
YJM689,CP006233,1294321,XVI
YJM693,CP004433,1294322,I
YJM693,CP004592,1294322,II
YJM693,CP006354,1294322,III
YJM693,CP004683,1294322,IV
YJM693,CP004777,1294322,V
YJM693,CP004913,1294322,VI
YJM693,CP005217,1294322,VII
YJM693,CP006142,1294322,VIII
YJM693,CP005005,1294322,IX
YJM693,CP005100,1294322,X
YJM693,CP005314,1294322,XI
YJM693,CP006458,1294322,XII
YJM693,CP005415,1294322,XIII
YJM693,CP005517,1294322,XIV
YJM693,CP005611,1294322,XV
YJM693,CP006234,1294322,XVI
YJM1248,CP004453,1294340,I
YJM1248,CP004612,1294340,II
YJM1248,CP006282,1294340,III
YJM1248,CP004703,1294340,IV
YJM1248,CP004797,1294340,V
YJM1248,CP004933,1294340,VI
YJM1248,CP005237,1294340,VII
YJM1248,CP006070,1294340,VIII
YJM1248,CP005025,1294340,IX
YJM1248,CP005139,1294340,X
YJM1248,CP005334,1294340,XI
YJM1248,CP006386,1294340,XII
YJM1248,CP005435,1294340,XIII
YJM1248,CP005537,1294340,XIV
YJM1248,CP005631,1294340,XV
YJM1248,CP006162,1294340,XVI
YJM1273,CP004456,1294343,I
YJM1273,CP004638,1294343,II
YJM1273,CP006285,1294343,III
YJM1273,CP004706,1294343,IV
YJM1273,CP004801,1294343,V
YJM1273,CP004936,1294343,VI
YJM1273,CP005240,1294343,VII
YJM1273,CP006073,1294343,VIII
YJM1273,CP005029,1294343,IX
YJM1273,CP005142,1294343,X
YJM1273,CP005337,1294343,XI
YJM1273,CP006389,1294343,XII
YJM1273,CP005438,1294343,XIII
YJM1273,CP005540,1294343,XIV
YJM1273,CP005634,1294343,XV
YJM1273,CP006165,1294343,XVI
YJM1385,CP004470,1294357,I
YJM1385,CP004652,1294357,II
YJM1385,CP006299,1294357,III
YJM1385,CP004720,1294357,IV
YJM1385,CP004815,1294357,V
YJM1385,CP004950,1294357,VI
YJM1385,CP005254,1294357,VII
YJM1385,CP006087,1294357,VIII
YJM1385,CP005043,1294357,IX
YJM1385,CP005156,1294357,X
YJM1385,CP005351,1294357,XI
YJM1385,CP006403,1294357,XII
YJM1385,CP005452,1294357,XIII
YJM1385,CP005554,1294357,XIV
YJM1385,CP005648,1294357,XV
YJM1385,CP006179,1294357,XVI
YJM1388,CP004473,1294360,I
YJM1388,CP004655,1294360,II
YJM1388,CP006302,1294360,III
YJM1388,CP004723,1294360,IV
YJM1388,CP004818,1294360,V
YJM1388,CP004953,1294360,VI
YJM1388,CP005257,1294360,VII
YJM1388,CP006090,1294360,VIII
YJM1388,CP005046,1294360,IX
YJM1388,CP005159,1294360,X
YJM1388,CP005354,1294360,XI
YJM1388,CP006406,1294360,XII
YJM1388,CP005455,1294360,XIII
YJM1388,CP005557,1294360,XIV
YJM1388,CP005651,1294360,XV
YJM1388,CP006182,1294360,XVI
YJM1389,CP004474,1294361,I
YJM1389,CP004656,1294361,II
YJM1389,CP006303,1294361,III
YJM1389,CP004724,1294361,IV
YJM1389,CP004819,1294361,V
YJM1389,CP004954,1294361,VI
