#name	prefix	organism	contigs
Kyokai_no_7	BABQ01	Saccharomyces cerevisiae Kyokai no. 7	705
RM11_1a	AAEG01	Saccharomyces cerevisiae RM11-1a	115
Sigma1278b	ACVY01	Saccharomyces cerevisiae Sigma1278b	67
T7	AFDE01	Saccharomyces cerevisiae T7	360
YJM789	AAFW02	Saccharomyces cerevisiae YJM789	258
wild007	MBUB01	Saccharomyces cerevisiae	972
wild006	MBUC01	Saccharomyces cerevisiae	1050
wild005	MBUD01	Saccharomyces cerevisiae	1156
wild004	MBUE01	Saccharomyces cerevisiae	64
wild003	MBUF02	Saccharomyces cerevisiae	156
wild002	MBUG01	Saccharomyces cerevisiae	68
wild001	MBUH01	Saccharomyces cerevisiae	185
wine019	MBUI01	Saccharomyces cerevisiae	216
wine018	MBUJ02	Saccharomyces cerevisiae	186
wine017	MBUK02	Saccharomyces cerevisiae	148
wine016	MBUL02	Saccharomyces cerevisiae	454
wine015	MBUM02	Saccharomyces cerevisiae	57
wine014	MBUN02	Saccharomyces cerevisiae	81
wine013	MBUO02	Saccharomyces cerevisiae	169
wine012	MBUP02	Saccharomyces cerevisiae	302
wine011	MBUQ02	Saccharomyces cerevisiae	103
wine010	MBUR02	Saccharomyces cerevisiae	220
wine009	MBUS02	Saccharomyces cerevisiae	98
wine008	MBUT02	Saccharomyces cerevisiae	200
wine007	MBUU02	Saccharomyces cerevisiae	190
wine006	MBUV02	Saccharomyces cerevisiae	100
wine005	MBUW02	Saccharomyces cerevisiae	112
wine004	MBUX02	Saccharomyces cerevisiae	75
wine003	MBUY02	Saccharomyces cerevisiae	122
wine002	MBUZ02	Saccharomyces cerevisiae	58
wine001	MBVA02	Saccharomyces cerevisiae	86
spirits011	MBVB01	Saccharomyces cerevisiae	177
spirits010	MBVC01	Saccharomyces cerevisiae	500
spirits009	MBVD01	Saccharomyces cerevisiae	485
spirits008	MBVE01	Saccharomyces cerevisiae	587
spirits007	MBVF01	Saccharomyces cerevisiae	325
spirits006	MBVG01	Saccharomyces cerevisiae	112
spirits005	MBVH01	Saccharomyces cerevisiae	263
spirits004	MBVI01	Saccharomyces cerevisiae	268
spirits003	MBVJ01	Saccharomyces cerevisiae	415
spirits002	MBVK01	Saccharomyces cerevisiae	84
spirits001	MBVL02	Saccharomyces cerevisiae	1476
sake007	MBVM01	Saccharomyces cerevisiae	123
sake006	MBVN01	Saccharomyces cerevisiae	93
sake005	MBVO01	Saccharomyces cerevisiae	87
sake004	MBVP01	Saccharomyces cerevisiae	117
sake003	MBVQ01	Saccharomyces cerevisiae	85
sake002	MBVR01	Saccharomyces cerevisiae	89
sake001	MBVS01	Saccharomyces cerevisiae	115
laboratory002	MBVT01	Saccharomyces cerevisiae	76
laboratory001	MBVU01	Saccharomyces cerevisiae	91
bread004	MBVV01	Saccharomyces cerevisiae	358
bread003	MBVW01	Saccharomyces cerevisiae	360
bread002	MBVX01	Saccharomyces cerevisiae	384
bread001	MBVY01	Saccharomyces cerevisiae	400
bioethanol005	MBVZ01	Saccharomyces cerevisiae	299
bioethanol004	MBWA01	Saccharomyces cerevisiae	124
bioethanol003	MBWB01	Saccharomyces cerevisiae	93
bioethanol002	MBWC01	Saccharomyces cerevisiae	414
bioethanol001	MBWD01	Saccharomyces cerevisiae	124
