#name	prefix	organism	contigs
Kyokai_no_7	BABQ01	Saccharomyces cerevisiae Kyokai no. 7	705
RM11_1a	AAEG01	Saccharomyces cerevisiae RM11-1a	115
Sigma1278b	ACVY01	Saccharomyces cerevisiae Sigma1278b	67
T7	AFDE01	Saccharomyces cerevisiae T7	360
YJM789	AAFW02	Saccharomyces cerevisiae YJM789	258
beer001	MCAB01	Saccharomyces cerevisiae	247
beer002	MCAA01	Saccharomyces cerevisiae	195
beer003	MBZZ01	Saccharomyces cerevisiae	92
beer004	MBZY01	Saccharomyces cerevisiae	276
beer005	MBZX01	Saccharomyces cerevisiae	341
beer006	MBZW01	Saccharomyces cerevisiae	478
beer007	MBZV01	Saccharomyces cerevisiae	218
beer008	MBZU01	Saccharomyces cerevisiae	263
beer009	MBZT01	Saccharomyces cerevisiae	295
beer010	MBZS01	Saccharomyces cerevisiae	284
beer011	MBZR01	Saccharomyces cerevisiae	158
beer012	MBZQ01	Saccharomyces cerevisiae	244
beer013	MBZP01	Saccharomyces cerevisiae	298
beer014	MBZO01	Saccharomyces cerevisiae	126
beer015	MBZN01	Saccharomyces cerevisiae	181
beer016	MBZM01	Saccharomyces cerevisiae	177
beer017	MBZL01	Saccharomyces cerevisiae	191
beer018	MBZK01	Saccharomyces cerevisiae	45
beer019	MBZJ01	Saccharomyces cerevisiae	221
beer020	MBZI01	Saccharomyces cerevisiae	86
beer021	MBZH01	Saccharomyces cerevisiae	263
beer022	MBZG01	Saccharomyces cerevisiae	228
beer023	MBZF01	Saccharomyces cerevisiae	378
beer024	MBZE01	Saccharomyces cerevisiae	93
beer025	MBZD01	Saccharomyces cerevisiae	432
beer026	MBZC01	Saccharomyces cerevisiae	257
beer027	MBZB01	Saccharomyces cerevisiae	217
beer028	MBZA01	Saccharomyces cerevisiae	373
beer029	MBYZ01	Saccharomyces cerevisiae	392
beer030	MBYY01	Saccharomyces cerevisiae	219
beer031	MBYX01	Saccharomyces cerevisiae	212
beer032	MBYW01	Saccharomyces cerevisiae	249
beer033	MBYV01	Saccharomyces cerevisiae	113
beer034	MBYU01	Saccharomyces cerevisiae	77
beer035	MBYT01	Saccharomyces cerevisiae	309
beer036	MBYS01	Saccharomyces cerevisiae	267
beer037	MBYR01	Saccharomyces cerevisiae	287
beer038	MBYQ01	Saccharomyces cerevisiae	380
beer039	MBYP01	Saccharomyces cerevisiae	261
beer040	MBYO01	Saccharomyces cerevisiae	208
beer041	MBYN01	Saccharomyces cerevisiae	225
beer042	MBYM01	Saccharomyces cerevisiae	192
beer043	MBYL01	Saccharomyces cerevisiae	283
beer044	MBYK01	Saccharomyces cerevisiae	129
beer045	MBYJ01	Saccharomyces cerevisiae	517
beer046	MBYI01	Saccharomyces cerevisiae	489
beer047	MBYH01	Saccharomyces cerevisiae	466
beer048	MBYG01	Saccharomyces cerevisiae	476
beer049	MBYF01	Saccharomyces cerevisiae	488
beer050	MBYE01	Saccharomyces cerevisiae	536
beer051	MBYD01	Saccharomyces cerevisiae	370
beer052	MBYC01	Saccharomyces cerevisiae	599
beer053	MBYB01	Saccharomyces cerevisiae	430
beer054	MBYA01	Saccharomyces cerevisiae	437
beer055	MBXZ01	Saccharomyces cerevisiae	497
beer056	MBXY01	Saccharomyces cerevisiae	525
beer057	MBXX01	Saccharomyces cerevisiae	566
